method	test	model	dataset	evaluation_metric	context	encoding_level	p_value	effect_size
LPBS	C1_name_word	bert	reduced	prob	template		0.62374	0.1742885129381269
LPBS	C1_name_word	bert	simplified	prob	template		0.09163	0.4095116417706533
LPBS	C1_name_word	bert	full	prob	template		0.70267	0.09404392102911678
LPBS	C3_name_word	bert	reduced	prob	template		0.21169	0.43867926401756074
LPBS	C3_name_word	bert	full	prob	template		0.21811	0.4347789457124502
LPBS	C3_term_word	bert	simplified	prob	template		4e-05	0.9061068864514749
LPBS	C3_term_word	bert	full	prob	template		0.14793	0.35306578117584314
LPBS	C6_name_word	bert	reduced	prob	template		0.00322	0.9952638531423131
LPBS	C6_name_word	bert	full	prob	template		0.00316	0.9952638531423131
LPBS	C6_term_word	bert	reduced	prob	template		0.00212	1.0056747226878546
LPBS	C6_term_word	bert	simplified	prob	template		0.02754	0.5443548924202227
LPBS	C6_term_word	bert	full	prob	template		0.12459	0.38393142189264245
LPBS	C9_name_m_word	bert	reduced	prob	template		0.07587	0.8688093016624233
LPBS	C9_name_m_word	bert	simplified	prob	template		0.51217	-0.3404233525112954
LPBS	C9_name_m_word	bert	full	prob	template		0.09078	0.8469627908363546
LPBS	C9_name_word	bert	reduced	prob	template		0.15856	0.7607623214688627
LPBS	C9_name_word	bert	simplified	prob	template		0.65052	-0.2566227416322466
LPBS	C9_name_word	bert	full	prob	template		0.13902	0.8202459426477605
LPBS	C9_term_word	bert	reduced	prob	template		0.74804	0.21777515067515144
LPBS	C9_term_word	bert	full	prob	template		0.70442	0.2596378805263893
LPBS	Dis_term_m_word	bert	full	prob	template		0.0	0.479620006887295
LPBS	Dis_term_word	bert	full	prob	template		0.0	0.49147917983707745
LPBS	I1_name_word	bert	full	prob	template		0.364	0.35974299808388444
LPBS	I1_term_word	bert	full	prob	template		0.04875	-0.759230226535125
LPBS	I2_name_word	bert	full	prob	template		0.25954	0.573421068853014
LPBS	I2_term_word	bert	full	prob	template		0.26276	-0.5783137300664649
LPBS	Occ_name_word	bert	reduced	prob	template		0.00062	0.9153451456716417
LPBS	Occ_name_word	bert	full	prob	template		0.0005	0.9493242777228915
LPBS	Occ_term_word	bert	reduced	prob	template		0.00226	0.8998027524649617
LPBS	Occ_term_word	bert	simplified	prob	template		0.0	0.9874578539061148
LPBS	Occ_term_word	bert	full	prob	template		4e-05	0.8727934214252956
