method	test	model	evaluation_metric	context	encoding_level	p_value	effect_size
CEAT	C1_name_word	elmo	cosine	template	word-average	0.0	0.9351985436164082
CEAT	C3_name_word	elmo	cosine	template	word-average	0.0	0.3236774116506536
CEAT	C3_term_word	elmo	cosine	template	word-average	1.4480170421810057e-202	-0.06159894803617891
CEAT	C6_name_word	elmo	cosine	template	word-average	0.0	0.6762050969042017
CEAT	C6_term_word	elmo	cosine	template	word-average	0.0	0.31634801632358944
CEAT	C9_name_word	elmo	cosine	template	word-average	0.0	-0.23197498225388044
CEAT	C9_term_word	elmo	cosine	template	word-average	0.0	0.7238908838510995
CEAT	C9m_name_word	elmo	cosine	template	word-average	1.1028358171264141e-23	-0.027318070722829598
CEAT	Dis_term_word	elmo	cosine	template	word-average	0.0	0.866154669303093
CEAT	Dism_term_word	elmo	cosine	template	word-average	0.0	0.8578176084057503
CEAT	EIBD_name_word	elmo	cosine	template	word-average	0.0	0.9954947401952277
CEAT	EIBD_term_word	elmo	cosine	template	word-average	0.0	0.9146058132869619
CEAT	IBD_name_word	elmo	cosine	template	word-average	0.0	0.6164861027790737
CEAT	IBD_term_word	elmo	cosine	template	word-average	0.0	0.44511110004752624
CEAT	Occ_name_word	elmo	cosine	template	word-average	0.0	0.5685788478186042
CEAT	Occ_term_word	elmo	cosine	template	word-average	0.0	0.46735651456163035
CEAT	C1_name_word	bert	cosine	template	word-average	0.0	0.9722034175781481
CEAT	C3_name_word	bert	cosine	template	word-average	0.0	0.5530846175892016
CEAT	C3_term_word	bert	cosine	template	word-average	0.0	-0.395127663089763
CEAT	C6_name_word	bert	cosine	template	word-average	0.0	0.3029988446854362
CEAT	C6_term_word	bert	cosine	template	word-average	0.0	0.12764253075319335
CEAT	C9_name_word	bert	cosine	template	word-average	0.0	-0.1016650509715034
CEAT	C9_term_word	bert	cosine	template	word-average	0.0	0.43476311882024493
CEAT	C9m_name_word	bert	cosine	template	word-average	0.0	-0.11841642838880119
CEAT	Dis_term_word	bert	cosine	template	word-average	0.0	0.08283862409204179
CEAT	Dism_term_word	bert	cosine	template	word-average	0.0	0.09623130283486696
CEAT	EIBD_name_word	bert	cosine	template	word-average	0.0	1.3417654511410868
CEAT	EIBD_term_word	bert	cosine	template	word-average	0.0	0.8111405625492507
CEAT	IBD_name_word	bert	cosine	template	word-average	0.0	1.4239612994126665
CEAT	IBD_term_word	bert	cosine	template	word-average	0.0	0.7900389005194506
CEAT	Occ_name_word	bert	cosine	template	word-average	0.0	0.6583645188458411
CEAT	Occ_term_word	bert	cosine	template	word-average	0.0	0.7249325166988785
CEAT	C1_name_word	gpt2	cosine	template	word-average	0.0	0.48747488350528073
CEAT	C3_name_word	gpt2	cosine	template	word-average	0.0	0.5511718582542233
CEAT	C3_term_word	gpt2	cosine	template	word-average	0.0	0.16476699328843164
CEAT	C6_name_word	gpt2	cosine	template	word-average	0.0	0.14891434508906481
CEAT	C6_term_word	gpt2	cosine	template	word-average	0.0	-0.2139935399122083
CEAT	C9_name_word	gpt2	cosine	template	word-average	0.0	-0.1508217206714881
CEAT	C9_term_word	gpt2	cosine	template	word-average	0.0	-0.8707989921747704
CEAT	C9m_name_word	gpt2	cosine	template	word-average	0.0	-0.1785642997540527
CEAT	Dis_term_word	gpt2	cosine	template	word-average	0.0	0.7646947079158075
CEAT	Dism_term_word	gpt2	cosine	template	word-average	0.0	0.7607489469310478
CEAT	EIBD_name_word	gpt2	cosine	template	word-average	0.0	-0.8378382098164829
CEAT	EIBD_term_word	gpt2	cosine	template	word-average	2.270177980835035e-289	-0.06243097967281913
CEAT	IBD_name_word	gpt2	cosine	template	word-average	0.0	-0.5271724851031913
CEAT	IBD_term_word	gpt2	cosine	template	word-average	0.0	-0.12875081106041175
CEAT	Occ_name_word	gpt2	cosine	template	word-average	0.0	0.22630906230592537
CEAT	Occ_term_word	gpt2	cosine	template	word-average	0.0	0.39967767490144457
